timestamp,model,epoch,loss,accuracy,train_time,samples_per_sec,device
2026-04-23 15:06:12,simplecnn,1,1.503,53.89,45.64,1095.51,cpu
2026-04-23 15:17:22,simplecnn,1,1.5166,56.28,49.37,1012.76,cpu
2026-04-23 15:19:16,mlp,1,1.8283,39.58,20.04,2495.27,cpu
2026-04-23 15:28:02,resnet18,1,1.366,50.76,454.65,109.97,cpu
2026-04-23 15:45:19,resnet18,1,1.3561,51.1,551.91,90.59,cpu
2026-04-23 17:36:31,resnet18,1,1.3768,49.65,384.03,130.2,cpu
2026-04-23 19:26:50,resnet18,1,1.3714,44.26,544.02,91.91,cpu
2026-04-23 19:36:09,resnet18,1,1.3661,58.05,468.05,106.83,cpu
